serviceType,serviceTypeDesc
1,Voice
2,Wireless
3,Video
4,Broadband
5,Voice_Broadband
6,Voice_Wireless
7,Voice_Video
8,Wireless_Video
9,Video_Broadband
10,Wireless_Broadband
11,Voice_Video_Broadband
12,Wireless_Video_Broadband
13,Voice_Wireless_Broadband
14,Voice_Wireless_Video
15,Voice_Wireless_Video_Broadband
16,Reserved - Used for IRU/CRU Business rules
17,DTV+Voice
18,DTV+Wireless
19,DTV+Video
20,DTV+Broadband
21,DTV+Voice_Broadband
22,DTV+Voice_Wireless
23,DTV+Voice_Video
24,DTV+Wireless_Video
25,DTV+Video_Broadband
26,DTV+Wireless_Broadband
27,DTV+Voice_Video_Broadband
28,DTV+Wireless_Video_Broadband
29,DTV+Voice_Wireless_Broadband
30,DTV+Voice_Wireless_Video
31,DTV+Voice_Wireless_Video_Broadband
32,DTV Only
