consumptionEngine,pageID,inventorySpaceID
ATTCOM,PG1001,IS1001
ATTCOM,PG1001,IS1002
ATTCOM,PG1001,IS1003
ATTCOM,PG1001,IS1001
ATTCOM,PG1001,IS1002
ATTCOM,PG1001,IS1003
ATTCOM,PG1001,IS1001
ATTCOM,PG1001,IS1002
ATTCOM,PG1001,IS1003
ATTCOM,PG1001,IS1014
ATTCOM,PG1001,IS1014
ATTCOM,PG1001,IS1015
ATTCOM,PG1001,IS1013
ATTCOM,PG1005,IS1017
ATTCOM,PG1005,IS1018
ATTCOM,PG1005,IS1016
ATTCOM,PG1006,IS1020
ATTCOM,PG1006,IS1021
ATTCOM,PG1006,IS1019
ATTCOM,PG1007,IS1023
ATTCOM,PG1007,IS1024
ATTCOM,PG1007,IS1022
ATTCOM,PG1076,IS1154
ATTCOM,PG1076,IS1155
ATTCOM,PG1076,IS1156
ATTCOMMOB,PG1060,IS1097
ATTCOMMOB,PG1060,IS1098
ATTCOMMOB,PG1060,IS1099
ATTCOMMOB,PG1075,IS1151
ATTCOMMOB,PG1075,IS1152
ATTCOMMOB,PG1075,IS1153
ATTNET,PG1,IS7
ATTNET,PG1,IS6
ATTNET,PG1,IS5
ATTNET,PG1,IS8
ATTNET,PG1,IS9
ATTNET,PG1,IS1
ATTNET,PG1,IS10
ATTNET,PG1,IS2
ATTCOM,PG1001,IS1070
ATTCOM,PG1001,IS1071
ATTCOM,PG1001,IS1072
ATTCOM,PG1001,IS1073
ATTCOM,PG1001,IS1074
ATTCOM,PG1001,IS1075
ATTCOM,PG1001,IS1076
ATTCOM,PG1001,IS1077
ATTCOM,PG1001,IS1078
ATTCOMMOB,PG1058,IS1085
ATTCOMMOB,PG1058,IS1081
ATTCOMMOB,PG1058,IS1082
ATTCOMMOB,PG1058,IS1083
ATTCOMMOB,PG1058,IS1084
ATTCOMMOB,PG1058,IS1086
ATTCOMMOB,PG1058,IS1087
ATTCOMMOB,PG1058,IS1088
ATTCOMMOB,PG1058,IS1089
ATTCOMMOB,PG1058,IS1090
ATTCOMMOB,PG1058,IS1080
ATTCOMMOB,PG1058,IS1092
ATTCOMMOB,PG1058,IS1093
ATTCOMMOB,PG1058,IS1094
ATTCOMMOB,PG1058,IS1095
ATTCOMMOB,PG1058,IS1096
ATTCOMMOB,PG1058,IS1091
SHOP,PG1049,IS1056
SHOP,PG1049,IS1056
SHOP,PG1049,IS1057
SHOP,PG1049,IS1057
SHOP,PG1049,IS1058
SHOP,PG1049,IS1058
SHOP,PG1049,IS1059
SHOP,PG1049,IS1059
SHOP,PG1049,IS1060
SHOP,PG1049,IS1060
SHOP,PG1044,IS1031
SHOP,PG1044,IS1032
SHOP,PG1044,IS1033
SHOP,PG1044,IS1034
SHOP,PG1044,IS1035
SHOP,PG1045,IS1038
SHOP,PG1045,IS1039
SHOP,PG1045,IS1040
SHOP,PG1046,IS1050
SHOP,PG1046,IS1051
SHOP,PG1046,IS1052
SHOP,PG1046,IS1053
SHOP,PG1046,IS1054
SHOP,PG1046,IS1055
SHOP,PG1046,IS1043
SHOP,PG1046,IS1044
SHOP,PG1046,IS1045
SHOP,PG1046,IS1046
SHOP,PG1046,IS1047
SHOP,PG1046,IS1048
SHOP,PG1046,IS1049
SHOP,PG1046,IS1050
SHOP,PG1046,IS1051
SHOP,PG1046,IS1052
SHOP,PG1046,IS1053
SHOP,PG1046,IS1054
SHOP,PG1046,IS1055
SHOP,PG1046,IS1043
SHOP,PG1046,IS1044
SHOP,PG1046,IS1045
SHOP,PG1046,IS1046
SHOP,PG1046,IS1047
SHOP,PG1046,IS1048
SHOP,PG1046,IS1049
SHOP,PG1046,IS1050
SHOP,PG1046,IS1051
SHOP,PG1046,IS1052
SHOP,PG1046,IS1053
SHOP,PG1046,IS1054
SHOP,PG1046,IS1055
SHOP,PG1046,IS1043
SHOP,PG1046,IS1044
SHOP,PG1046,IS1045
SHOP,PG1046,IS1046
SHOP,PG1046,IS1047
SHOP,PG1046,IS1048
SHOP,PG1046,IS1049
SHOP,PG1050,IS1061
SHOP,PG1050,IS1062
SHOP,PG1050,IS1063
SHOP,PG1050,IS1064
SHOP,PG1050,IS1255
SHOP,PG1051,IS1065
SHOP,PG1051,IS1066
SHOP,PG1051,IS1067
SHOP,PG1051,IS1068
SHOP,PG1077,IS1158
SHOP,PG1077,IS1159
SHOP,PG1077,IS1160
SHOP,PG1077,IS1161
SHOP,PG1077,IS1157
SHOP,PG1077,IS1157
SHOP,PG1077,IS1158
SHOP,PG1077,IS1159
SHOP,PG1078,IS1162
SHOP,PG1078,IS1163
SHOP,PG1078,IS1164
SHOP,PG1078,IS1162
SHOP,PG1078,IS1163
SHOP,PG1078,IS1164
SHOP,PG1079,IS1168
SHOP,PG1079,IS1169
SHOP,PG1079,IS1165
SHOP,PG1079,IS1166
SHOP,PG1079,IS1167
SHOP,PG1079,IS1168
SHOP,PG1079,IS1169
SHOP,PG1079,IS1165
SHOP,PG1079,IS1166
SHOP,PG1079,IS1167
SHOP,PG1080,IS1170
SHOP,PG1080,IS1171
SHOP,PG1080,IS1172
SHOP,PG1081,IS1173
SHOP,PG1081,IS1174
SHOP,PG1081,IS1175
SHOP,PG1081,IS1173
SHOP,PG1081,IS1174
SHOP,PG1081,IS1175
SHOP,PG1081,IS1176
SHOP,PG1084,IS1229
SHOP,PG1084,IS1230
SHOP,PG1084,IS1231
SHOP,PG1084,IS1232
SHOP,PG1084,IS1233
SHOP,PG1084,IS1234
SHOP,PG1084,IS1230
SHOP,PG1084,IS1230
SHOP,PG1089,IS1256
SHOP,PG1089,IS1257
SHOP,PG1089,IS1258
SHOP,PG1089,IS1259
SHOP,PG1089,IS1260
UVERSECOM,PG1088,IS1252
UVERSECOM,PG1088,IS1253
UVERSECOM,PG1088,IS1254
